Species Name,Latitude,Longitude,Day,Month,Year,Local Time,Location Name,Loc Reliability,Sp Code,ID Reliability,Min. Number of Animals,Max. Number of Animals,Animal Condition,Platform,Type of Sighting,Type of Gear,Target Species,Strand or Entrapment Outcome,Depth (m),Distance From Obs (m),Discard Wt (kg)
Leatherback Turtle,47.1974,-54.0884,3,9,2024,,Little Barasway  PB,2,9701,1,3,3,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.8333,-54.2833,3,9,2024,,Cape St. Mary's,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Gillnet,Groundfish,Alive,50,,
Leatherback Turtle,48.612,-51.76,6,9,2024,12:00,Eastern Avalon,1,9701,1,1,1,Alive,Satellite Tag Location,Free Swimming,,,,400,,
Leatherback Turtle,46.8607,-54.2858,7,9,2024,,St. Brides  P.B.,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Gillnet,Cod,Alive,50,,
Leatherback Turtle,47.557,-52.991,9,9,2024,18:30,Conception Bay,1,9701,1,1,1,Alive,Sailboat,Free Swimming,,,,80,100,
Leatherback Turtle,46.8333,-54.26,15,9,2024,,Cape St. Mary's,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,800
Leatherback Turtle,47.3108,-54.2586,15,9,2024,,Red Island  P.B.,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,400,,
Leatherback Turtle,47.6564,-53.5315,1,12,2024,,Greens Harbour  T.B.,1,9701,1,1,1,Alive,Shore,Free Swimming,,,,50,,
Unknown Turtle,42.1433,-67.304,14,3,2024,12:24,Offshore,2,20,2,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Unknown Turtle,42.1433,-67.304,14,3,2024,12:24,Offshore,1,20,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,37.163,-74.0908,10,4,2024,,,1,9701,1,1,1,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.5413,-63.8457,10,5,2024,,Malpeque Bay  P.E.I.,1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,,,
Unknown Turtle,47.0832,-60.5658,16,5,2024,23:12,Offshore,2,20,2,3,3,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,47.1683,-52.6383,18,5,2024,12:50,Offshore,2,9701,2,7,9,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,48.5764,-53.2232,5,6,2024,,Bonavista Bay,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,22,2,
Leatherback Turtle,47.0066,-54.9524,8,7,2024,,Mortier Bank  Placentia Bay,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,,,Alive,,,
Leatherback Turtle,46.5994,-56.039,15,7,2024,,St. Pierre Bank,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,Gillnet,Cod,,,,
Leatherback Turtle,44.7975,-60.9363,15,7,2024,20:17,Offshore,1,9701,1,1,1,Alive,King Air,Free Swimming,,,,,,
Leatherback Turtle,47.5178,-52.6192,31,7,2024,,Cape Spear  Southern Avalon,1,9701,1,1,1,Alive,Shore,Free Swimming,,,,,,
Leatherback Turtle,46.7467,-59.5483,1,8,2024,,Cape breton,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,,,Alive,,,
Leatherback Turtle,47.5865,-52.354,4,8,2024,,12 mile off St. John’s ,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,49.2167,-51.6,6,8,2024,0:00,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,5,
Leatherback Turtle,53.5331,-55.7865,9,8,2024,,Spotted Island  Labrador,1,9701,1,1,1,Alive,Recreation Vessel,Free Swimming,,,,50,2,
Leatherback Turtle,47.6,-57.6238,9,8,2024,,Burgeo,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Unknown Turtle,47.4273,-52.3352,9,8,2024,9:30,ST JOHN'S,2,20,2,1,1,Alive,Military Vessel,Unknown,,,,,,
Leatherback Turtle,47.1592,-55.1557,10,8,2024,,Under Canning’s bridge  Marystown  Placentia Bay,2,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,47.816,-52.7732,10,8,2024,,The Brandies  Cape St. Francis  Avalon,2,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,47.3464,-59.7018,15,8,2024,,Gulf ferry  2 hours out of Port aux Basques,1,9701,1,1,1,Alive,Ferry,Free Swimming,,,,,,
Leatherback Turtle,47.4757,-52.6367,23,8,2024,,Between Cape Spear and Petty Harbour,2,9701,1,1,1,Alive,Shore,Free Swimming,,,,,,
Leatherback Turtle,47.4467,-58.6238,23,8,2024,,Margaree,1,9701,1,2,2,Alive,Fishing Vessel,Free Swimming,,,,,,
